"No.","timestamp","sourceIP","destinationIP","protocol","packetLength","Source Port","Destination Port","Data","Source","Reassembled in","info"
"49","1549886206.782681","fe80::212:7402:2:202","ff02::1a","ICMPv6","64","","","","","","RPL Control (DODAG Information Solicitation)"
"50","1549886219.445901","fe80::212:7403:3:303","ff02::1a","ICMPv6","64","","","","","","RPL Control (DODAG Information Solicitation)"
"51","1549886266.782681","fe80::212:7402:2:202","ff02::1a","ICMPv6","64","","","","","","RPL Control (DODAG Information Solicitation)"
"52","1549886279.445901","fe80::212:7403:3:303","ff02::1a","ICMPv6","64","","","","","","RPL Control (DODAG Information Solicitation)"
"53","1549886326.782681","fe80::212:7402:2:202","ff02::1a","ICMPv6","64","","","","","","RPL Control (DODAG Information Solicitation)"
"54","1549886339.445901","fe80::212:7403:3:303","ff02::1a","ICMPv6","64","","","","","","RPL Control (DODAG Information Solicitation)"
"55","1549886386.782681","fe80::212:7402:2:202","ff02::1a","ICMPv6","64","","","","","","RPL Control (DODAG Information Solicitation)"
"56","1549886399.445901","fe80::212:7403:3:303","ff02::1a","ICMPv6","64","","","","","","RPL Control (DODAG Information Solicitation)"
"57","1549886446.782681","fe80::212:7402:2:202","ff02::1a","ICMPv6","64","","","","","","RPL Control (DODAG Information Solicitation)"
"58","1549886459.445901","fe80::212:7403:3:303","ff02::1a","ICMPv6","64","","","","","","RPL Control (DODAG Information Solicitation)"
"59","1549886506.782681","fe80::212:7402:2:202","ff02::1a","ICMPv6","64","","","","","","RPL Control (DODAG Information Solicitation)"
"60","1549886519.445901","fe80::212:7403:3:303","ff02::1a","ICMPv6","64","","","","","","RPL Control (DODAG Information Solicitation)"
"61","1549886566.782681","fe80::212:7402:2:202","ff02::1a","ICMPv6","64","","","","","","RPL Control (DODAG Information Solicitation)"
"62","1549886579.445901","fe80::212:7403:3:303","ff02::1a","ICMPv6","64","","","","","","RPL Control (DODAG Information Solicitation)"
"63","1549886626.782681","fe80::212:7402:2:202","ff02::1a","ICMPv6","64","","","","","","RPL Control (DODAG Information Solicitation)"
"64","1549886639.445901","fe80::212:7403:3:303","ff02::1a","ICMPv6","64","","","","","","RPL Control (DODAG Information Solicitation)"
"65","1549886640.860776","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"66","1549886640.864736","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"67","1549886640.868703","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"68","1549886640.872672","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"69","1549886640.876639","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"70","1549886640.880605","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"71","1549886640.884573","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"72","1549886640.888541","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"73","1549886640.892508","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"74","1549886640.896474","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"75","1549886640.900442","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"76","1549886640.904409","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"77","1549886640.908377","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"78","1549886640.912344","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"79","1549886640.916312","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"80","1549886640.920279","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"81","1549886640.924245","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"82","1549886640.928214","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"83","1549886640.932181","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"84","1549886640.936147","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"85","1549886640.940154","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"86","1549886640.944113","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"87","1549886640.948079","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"88","1549886640.952047","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"89","1549886640.956014","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"90","1549886640.959982","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"91","1549886640.963981","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"92","1549886640.967946","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"93","1549886640.971914","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"94","1549886640.975883","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"95","1549886640.979850","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"96","1549886640.983816","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"97","1549886640.987784","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"98","1549886642.955032","fe80::212:7403:3:303","fe80::c30c:0:0:1","ICMPv6","76","","","","","","RPL Control (Destination Advertisement Object)"
"99","1549886644.909495","fe80::212:7402:2:202","fe80::c30c:0:0:1","ICMPv6","76","","","","","","RPL Control (Destination Advertisement Object)"
"100","1549886648.433261","aaaa::212:7402:2:202","aaaa::1","UDP","97","1884","1884","1704040100053030303030303030303030303030303031","","","1884  >  1884 Len=23"
"101","1549886648.458161","aaaa::1","aaaa::212:7402:2:202","UDP","83","1884","1884","030500","","","1884  >  1884 Len=3"
"102","1549886648.461226","","","IEEE 802.15.4","5","","","","","","Ack"
"103","1549886648.474831","aaaa::212:7402:2:202","aaaa::1","UDP","88","1884","1884","0e0a000000012f746f7069635f31","","","1884  >  1884 Len=14"
"104","1549886649.096481","aaaa::212:7403:3:303","aaaa::1","UDP","97","1884","1884","1704040100053030303030303030303030303030303031","","","1884  >  1884 Len=23"
"105","1549886649.166627","fe80::212:7403:3:303","fe80::c30c:0:0:1","ICMPv6","102","","","","","","RPL Control (DODAG Information Object)"
"106","1549886649.383947","fe80::212:7403:3:303","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"107","1549886650.579373","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"108","1549886650.583335","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"109","1549886650.587301","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"110","1549886650.591269","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"111","1549886650.595237","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"112","1549886650.599203","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"113","1549886650.603170","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"114","1549886650.607138","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"115","1549886650.611104","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"116","1549886650.615073","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"117","1549886650.619040","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"118","1549886650.623037","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"119","1549886650.627004","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"120","1549886650.630971","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"121","1549886650.634939","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"122","1549886650.638907","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"123","1549886650.642875","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"124","1549886650.646842","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"125","1549886650.650809","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"126","1549886650.654775","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"127","1549886650.658742","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"128","1549886650.662711","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"129","1549886650.666721","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"130","1549886650.670675","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"131","1549886650.674644","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"132","1549886650.678611","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"133","1549886650.682578","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"134","1549886650.686544","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"135","1549886650.690542","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"136","1549886650.694510","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"137","1549886650.698477","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"138","1549886650.702445","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"139","1549886650.706411","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"140","1549886650.717499","aaaa::1","aaaa::212:7402:2:202","UDP","85","1884","1884","070b0001000100","","","1884  >  1884 Len=7"
"141","1549886650.720628","","","IEEE 802.15.4","5","","","","","","Ack"
"142","1549886650.729431","aaaa::1","aaaa::212:7403:3:303","UDP","83","1884","1884","030500","","","1884  >  1884 Len=3"
"143","1549886650.732496","","","IEEE 802.15.4","5","","","","","","Ack"
"144","1549886650.741985","aaaa::212:7402:2:202","aaaa::1","UDP","88","1884","1884","0e0a000000022f746f7069635f32","","","1884  >  1884 Len=14"
"145","1549886650.745525","aaaa::212:7403:3:303","aaaa::1","UDP","88","1884","1884","0e0a000000012f746f7069635f31","","","1884  >  1884 Len=14"
"146","1549886652.081676","fe80::212:7402:2:202","fe80::c30c:0:0:1","ICMPv6","102","","","","","","RPL Control (DODAG Information Object)"
"147","1549886652.291126","fe80::212:7402:2:202","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"148","1549886653.354057","fe80::212:7403:3:303","fe80::c30c:0:0:1","ICMPv6","76","","","","","","RPL Control (Destination Advertisement Object)"
"149","1549886653.464589","aaaa::212:7402:2:202","aaaa::1","UDP","93","1884","1884","13163030303030303030303030303030303031","","","1884  >  1884 Len=19"
"150","1549886653.745658","aaaa::212:7402:2:202","aaaa::1","UDP","88","1884","1884","0e0a000000022f746f7069635f32","","","1884  >  1884 Len=14"
"151","1549886653.752564","aaaa::212:7403:3:303","aaaa::1","UDP","88","1884","1884","0e0a000000012f746f7069635f31","","","1884  >  1884 Len=14"
"152","1549886654.196992","aaaa::1","aaaa::212:7403:3:303","UDP","85","1884","1884","070b0001000100","","","1884  >  1884 Len=7"
"153","1549886654.200121","","","IEEE 802.15.4","5","","","","","","Ack"
"154","1549886654.213425","aaaa::212:7403:3:303","aaaa::1","UDP","88","1884","1884","0e0a000000022f746f7069635f32","","","1884  >  1884 Len=14"
"155","1549886654.229614","aaaa::1","aaaa::212:7403:3:303","UDP","85","1884","1884","070b0001000100","","","1884  >  1884 Len=7"
"156","1549886654.232743","","","IEEE 802.15.4","5","","","","","","Ack"
"157","1549886654.245971","aaaa::212:7403:3:303","aaaa::1","UDP","88","1884","1884","0e0a000000022f746f7069635f32","","","1884  >  1884 Len=14"
"158","1549886654.815131","fe80::212:7403:3:303","fe80::c30c:0:0:1","ICMPv6","102","","","","","","RPL Control (DODAG Information Object)"
"159","1549886655.737144","aaaa::212:7403:3:303","aaaa::1","UDP","93","1884","1884","13163030303030303030303030303030303031","","","1884  >  1884 Len=19"
"160","1549886656.479397","fe80::212:7402:2:202","fe80::c30c:0:0:1","ICMPv6","76","","","","","","RPL Control (Destination Advertisement Object)"
"161","1549886656.745585","aaaa::212:7402:2:202","aaaa::1","UDP","88","1884","1884","0e0a000000022f746f7069635f32","","","1884  >  1884 Len=14"
"162","1549886657.252582","aaaa::212:7403:3:303","aaaa::1","UDP","88","1884","1884","0e0a000000022f746f7069635f32","","","1884  >  1884 Len=14"
"163","1549886657.634186","aaaa::1","aaaa::212:7403:3:303","UDP","85","1884","1884","070b0002000200","","","1884  >  1884 Len=7"
"164","1549886657.637314","","","IEEE 802.15.4","5","","","","","","Ack"
"165","1549886657.650881","aaaa::212:7403:3:303","aaaa::1","UDP","88","1884","1884","0e0a000000032f746f7069635f33","","","1884  >  1884 Len=14"
"166","1549886657.668641","aaaa::1","aaaa::212:7403:3:303","UDP","85","1884","1884","070b0002000200","","","1884  >  1884 Len=7"
"167","1549886657.671769","","","IEEE 802.15.4","5","","","","","","Ack"
"168","1549886657.680268","aaaa::1","aaaa::212:7403:3:303","UDP","82","1884","1884","0217","","","1884  >  1884 Len=2"
"169","1549886657.683302","","","IEEE 802.15.4","5","","","","","","Ack"
"170","1549886657.685119","aaaa::212:7403:3:303","aaaa::1","UDP","88","1884","1884","0e0a000000032f746f7069635f33","","","1884  >  1884 Len=14"
"171","1549886657.699280","aaaa::1","aaaa::212:7403:3:303","UDP","85","1884","1884","070b0002000200","","","1884  >  1884 Len=7"
"172","1549886657.702408","","","IEEE 802.15.4","5","","","","","","Ack"
"173","1549886657.715633","aaaa::212:7403:3:303","aaaa::1","UDP","88","1884","1884","0e0a000000032f746f7069635f33","","","1884  >  1884 Len=14"
"174","1549886658.464520","aaaa::212:7402:2:202","aaaa::1","UDP","93","1884","1884","13163030303030303030303030303030303031","","","1884  >  1884 Len=19"
"175","1549886659.745599","aaaa::212:7402:2:202","aaaa::1","UDP","88","1884","1884","0e0a000000022f746f7069635f32","","","1884  >  1884 Len=14"
"176","1549886660.200531","aaaa::1","aaaa::212:7403:3:303","UDP","85","1884","1884","070b0003000300","","","1884  >  1884 Len=7"
"177","1549886660.203659","","","IEEE 802.15.4","5","","","","","","Ack"
"178","1549886660.217441","aaaa::212:7403:3:303","aaaa::1","UDP","88","1884","1884","0e0a000000042f746f7069635f34","","","1884  >  1884 Len=14"
"179","1549886660.234954","aaaa::1","aaaa::212:7403:3:303","UDP","85","1884","1884","070b0003000300","","","1884  >  1884 Len=7"
"180","1549886660.238083","","","IEEE 802.15.4","5","","","","","","Ack"
"181","1549886660.246491","aaaa::1","aaaa::212:7403:3:303","UDP","85","1884","1884","070b0003000300","","","1884  >  1884 Len=7"
"182","1549886660.249620","","","IEEE 802.15.4","5","","","","","","Ack"
"183","1549886660.494976","aaaa::212:7403:3:303","aaaa::1","UDP","97","1884","1884","170c100001000048656c6c6f20616464723a3033303300","","","1884  >  1884 Len=23"
"184","1549886660.737070","aaaa::212:7403:3:303","aaaa::1","UDP","93","1884","1884","13163030303030303030303030303030303031","","","1884  >  1884 Len=19"
"185","1549886661.212125","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"186","1549886661.216085","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"187","1549886661.220054","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"188","1549886661.224021","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"189","1549886661.227988","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"190","1549886661.231954","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"191","1549886661.235923","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"192","1549886661.239889","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"193","1549886661.243857","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"194","1549886661.247823","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"195","1549886661.251791","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"196","1549886661.255758","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"197","1549886661.259726","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"198","1549886661.263714","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"199","1549886661.267691","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"200","1549886661.271659","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"201","1549886661.275626","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"202","1549886661.279592","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"203","1549886661.283560","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"204","1549886661.287527","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"205","1549886661.291495","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"206","1549886661.295461","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"207","1549886661.299429","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"208","1549886661.303397","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
"209","1549886661.307364","fe80::c30c:0:0:1","ff02::1a","ICMPv6","97","","","","","","RPL Control (DODAG Information Object)"
