mote_id,monitored_time,on_time,tx_time,rx_time,int_time
3,55.0,1.0,1.0,0.0,0.0
4,55.0,0.0,0.0,0.0,0.0
5,55.0,1.0,0.0,0.0,0.0
6,55.0,1.0,0.0,0.0,0.0
7,55.0,2.0,1.0,0.0,0.0
8,55.0,1.0,0.0,0.0,0.0
9,55.0,2.0,1.0,0.0,0.0
10,55.0,1.0,0.0,0.0,0.0
0,57.0,1.0,0.0,0.0,0.0
1,57.0,1.0,0.0,0.0,0.0
2,57.0,2.0,1.0,0.0,0.0
3,57.0,1.0,1.0,0.0,0.0
4,57.0,0.0,0.0,0.0,0.0
5,57.0,1.0,0.0,0.0,0.0
6,57.0,1.0,0.0,0.0,0.0
7,57.0,2.0,1.0,0.0,0.0
8,57.0,1.0,0.0,0.0,0.0
9,57.0,2.0,1.0,0.0,0.0
10,57.0,1.0,0.0,0.0,0.0
0,57.0,1.0,0.0,0.0,0.0
1,57.0,1.0,0.0,0.0,0.0
2,57.0,2.0,1.0,0.0,0.0
3,57.0,1.0,1.0,0.0,0.0
4,57.0,0.0,0.0,0.0,0.0
5,57.0,1.0,0.0,0.0,0.0
6,57.0,1.0,0.0,0.0,0.0
7,57.0,2.0,1.0,0.0,0.0
8,57.0,1.0,0.0,0.0,0.0
9,57.0,2.0,1.0,0.0,0.0
10,57.0,1.0,0.0,0.0,0.0
0,58.0,1.0,0.0,0.0,0.0
1,58.0,1.0,0.0,0.0,0.0
2,58.0,2.0,1.0,0.0,0.0
3,58.0,1.0,1.0,0.0,0.0
4,58.0,0.0,0.0,0.0,0.0
5,58.0,1.0,0.0,0.0,0.0
6,58.0,1.0,0.0,0.0,0.0
7,58.0,2.0,1.0,0.0,0.0
8,58.0,1.0,0.0,0.0,0.0
9,58.0,2.0,1.0,0.0,0.0
10,58.0,1.0,1.0,0.0,0.0
0,60.0,1.0,0.0,0.0,0.0
1,60.0,1.0,0.0,0.0,0.0
2,60.0,2.0,1.0,0.0,0.0
3,60.0,1.0,1.0,0.0,0.0
4,60.0,0.0,0.0,0.0,0.0
5,60.0,1.0,0.0,0.0,0.0
6,60.0,1.0,0.0,0.0,0.0
7,60.0,2.0,1.0,0.0,0.0
8,60.0,1.0,0.0,0.0,0.0
9,60.0,2.0,1.0,0.0,0.0
10,60.0,1.0,1.0,0.0,0.0
0,61.0,1.0,0.0,0.0,0.0
1,61.0,1.0,0.0,0.0,0.0
2,61.0,2.0,1.0,0.0,0.0
3,61.0,1.0,1.0,0.0,0.0
4,61.0,0.0,0.0,0.0,0.0
5,61.0,1.0,0.0,0.0,0.0
6,61.0,1.0,0.0,0.0,0.0
7,61.0,2.0,1.0,0.0,0.0
8,61.0,1.0,0.0,0.0,0.0
9,61.0,2.0,1.0,0.0,0.0
10,61.0,1.0,1.0,0.0,0.0
0,63.0,1.0,0.0,0.0,0.0
1,63.0,1.0,0.0,0.0,0.0
2,63.0,2.0,1.0,0.0,0.0
3,63.0,2.0,1.0,0.0,0.0
4,63.0,0.0,0.0,0.0,0.0
5,63.0,1.0,0.0,0.0,0.0
6,63.0,1.0,0.0,0.0,0.0
7,63.0,2.0,1.0,0.0,0.0
8,63.0,1.0,0.0,0.0,0.0
9,63.0,2.0,1.0,0.0,0.0
10,63.0,1.0,1.0,0.0,0.0
0,63.0,1.0,0.0,0.0,0.0
1,63.0,1.0,0.0,0.0,0.0
2,63.0,2.0,1.0,0.0,0.0
3,63.0,2.0,1.0,0.0,0.0
4,63.0,0.0,0.0,0.0,0.0
5,63.0,1.0,0.0,0.0,0.0
6,63.0,1.0,0.0,0.0,0.0
7,63.0,2.0,1.0,0.0,0.0
8,63.0,1.0,0.0,0.0,0.0
9,63.0,2.0,1.0,0.0,0.0
10,63.0,1.0,1.0,0.0,0.0
0,83.0,1.0,0.0,0.0,0.0
1,83.0,1.0,0.0,0.0,0.0
2,83.0,2.0,1.0,0.0,0.0
3,83.0,2.0,1.0,0.0,0.0
4,83.0,0.0,0.0,0.0,0.0
5,83.0,1.0,0.0,0.0,0.0
6,83.0,1.0,0.0,0.0,0.0
7,83.0,2.0,1.0,0.0,0.0
8,83.0,2.0,1.0,0.0,0.0
9,83.0,2.0,1.0,0.0,0.0
10,83.0,2.0,1.0,0.0,0.0
0,83.0,1.0,0.0,0.0,0.0
1,83.0,1.0,0.0,0.0,0.0
2,83.0,2.0,1.0,0.0,0.0
3,83.0,2.0,1.0,0.0,0.0
4,83.0,0.0,0.0,0.0,0.0
5,83.0,1.0,0.0,0.0,0.0
6,83.0,1.0,0.0,0.0,0.0
7,83.0,2.0,1.0,0.0,0.0
8,83.0,2.0,1.0,0.0,0.0
9,83.0,2.0,1.0,0.0,0.0
10,83.0,2.0,1.0,0.0,0.0
0,83.0,1.0,0.0,0.0,0.0
1,83.0,1.0,0.0,0.0,0.0
2,83.0,2.0,1.0,0.0,0.0
3,83.0,2.0,1.0,0.0,0.0
4,83.0,0.0,0.0,0.0,0.0
5,83.0,1.0,0.0,0.0,0.0
6,83.0,1.0,0.0,0.0,0.0
7,83.0,2.0,1.0,0.0,0.0
8,83.0,2.0,1.0,0.0,0.0
9,83.0,2.0,1.0,0.0,0.0
10,83.0,2.0,1.0,0.0,0.0
0,83.0,1.0,0.0,0.0,0.0
1,83.0,1.0,0.0,0.0,0.0
2,83.0,2.0,1.0,0.0,0.0
3,83.0,2.0,1.0,0.0,0.0
4,83.0,0.0,0.0,0.0,0.0
5,83.0,1.0,0.0,0.0,0.0
6,83.0,1.0,0.0,0.0,0.0
7,83.0,2.0,1.0,0.0,0.0
8,83.0,2.0,1.0,0.0,0.0
9,83.0,2.0,1.0,0.0,0.0
10,83.0,2.0,1.0,0.0,0.0
0,83.0,1.0,0.0,0.0,0.0
1,83.0,1.0,0.0,0.0,0.0
2,83.0,2.0,1.0,0.0,0.0
3,83.0,2.0,1.0,0.0,0.0
4,83.0,0.0,0.0,0.0,0.0
5,83.0,1.0,0.0,0.0,0.0
6,83.0,1.0,0.0,0.0,0.0
7,83.0,2.0,1.0,0.0,0.0
8,83.0,2.0,1.0,0.0,0.0
9,83.0,2.0,1.0,0.0,0.0
10,83.0,2.0,1.0,0.0,0.0
0,83.0,1.0,0.0,0.0,0.0
1,83.0,1.0,0.0,0.0,0.0
2,83.0,2.0,1.0,0.0,0.0
3,83.0,2.0,1.0,0.0,0.0
4,83.0,0.0,0.0,0.0,0.0
5,83.0,1.0,0.0,0.0,0.0
6,83.0,1.0,0.0,0.0,0.0
7,83.0,2.0,1.0,0.0,0.0
8,83.0,2.0,1.0,0.0,0.0
9,83.0,2.0,1.0,0.0,0.0
10,83.0,2.0,1.0,0.0,0.0
0,83.0,1.0,0.0,0.0,0.0
1,83.0,1.0,0.0,0.0,0.0
2,83.0,2.0,1.0,0.0,0.0
3,83.0,2.0,1.0,0.0,0.0
4,83.0,0.0,0.0,0.0,0.0
5,83.0,1.0,0.0,0.0,0.0
6,83.0,1.0,0.0,0.0,0.0
7,83.0,2.0,1.0,0.0,0.0
8,83.0,2.0,1.0,0.0,0.0
9,83.0,2.0,1.0,0.0,0.0
10,83.0,2.0,1.0,0.0,0.0
0,83.0,1.0,0.0,0.0,0.0
1,83.0,1.0,0.0,0.0,0.0
2,83.0,2.0,1.0,0.0,0.0
3,83.0,2.0,1.0,0.0,0.0
4,83.0,0.0,0.0,0.0,0.0
5,83.0,1.0,0.0,0.0,0.0
6,83.0,1.0,0.0,0.0,0.0
7,83.0,2.0,1.0,0.0,0.0
